seriesCode,iso2cd,year,value
SH_DYN_IMRT,cl,2018,6.2
SH_DYN_IMRT,cn,2018,7.8
SH_DYN_IMRT,cn,2018,7.4
SH_DYN_IMRT,cn,2018,6.9
SH_DYN_IMRT,co,2018,10.8
SH_DYN_IMRT,co,2018,13.6
SH_DYN_IMRT,co,2018,12.2
SH_DYN_IMRT,km,2018,55.9
SH_DYN_IMRT,km,2018,51.3
SH_DYN_IMRT,km,2018,46.4
SH_DYN_IMRT,cg,2018,32.4
SH_DYN_IMRT,cg,2018,39.8
SH_DYN_IMRT,cg,2018,36.2
SH_DYN_IMRT,cd,2018,62.0
SH_DYN_IMRT,cd,2018,74.2
SH_DYN_IMRT,cd,2018,68.2
SH_DYN_IMRT,ck,2018,6.1
SH_DYN_IMRT,ck,2018,6.7
SH_DYN_IMRT,ck,2018,7.3
SH_DYN_IMRT,cr,2018,8.2
SH_DYN_IMRT,cr,2018,6.9
SH_DYN_IMRT,cr,2018,7.6
SH_DYN_IMRT,hr,2018,4.0
SH_DYN_IMRT,hr,2018,3.6
SH_DYN_IMRT,hr,2018,4.3
SH_DYN_IMRT,cu,2018,3.7
SH_DYN_IMRT,cu,2018,4.1
SH_DYN_IMRT,cu,2018,3.3
SH_DYN_IMRT,cy,2018,2.0
SH_DYN_IMRT,cy,2018,1.9
SH_DYN_IMRT,cy,2018,1.7
SH_DYN_IMRT,cz,2018,2.7
SH_DYN_IMRT,cz,2018,2.3
SH_DYN_IMRT,cz,2018,3.0
SH_DYN_IMRT,bj,2018,60.5
SH_DYN_IMRT,bj,2018,54.7
SH_DYN_IMRT,bj,2018,66.1
SH_DYN_IMRT,dk,2018,3.6
SH_DYN_IMRT,dk,2018,3.3
SH_DYN_IMRT,dk,2018,3.9
SH_DYN_IMRT,dm,2018,30.4
SH_DYN_IMRT,dm,2018,32.9
SH_DYN_IMRT,dm,2018,35.1
SH_DYN_IMRT,do,2018,24.1
SH_DYN_IMRT,do,2018,26.4
SH_DYN_IMRT,do,2018,21.7
SH_DYN_IMRT,ec,2018,10.7
SH_DYN_IMRT,ec,2018,13.7
SH_DYN_IMRT,ec,2018,12.2
SH_DYN_IMRT,sv,2018,13.0
SH_DYN_IMRT,sv,2018,10.5
SH_DYN_IMRT,sv,2018,11.8
SH_DYN_IMRT,gq,2018,68.3
SH_DYN_IMRT,gq,2018,56.5
SH_DYN_IMRT,gq,2018,62.6
SH_DYN_IMRT,et,2018,44.4
SH_DYN_IMRT,et,2018,33.6
SH_DYN_IMRT,et,2018,39.1
SH_DYN_IMRT,er,2018,26.7
SH_DYN_IMRT,er,2018,31.3
SH_DYN_IMRT,er,2018,35.8
SH_DYN_IMRT,ee,2018,2.3
SH_DYN_IMRT,ee,2018,2.1
SH_DYN_IMRT,ee,2018,1.9
SH_DYN_IMRT,fj,2018,21.6
SH_DYN_IMRT,fj,2018,19.7
SH_DYN_IMRT,fj,2018,23.5
SH_DYN_IMRT,fi,2018,1.5
SH_DYN_IMRT,fi,2018,1.2
SH_DYN_IMRT,fi,2018,1.4
SH_DYN_IMRT,fr,2018,3.0
SH_DYN_IMRT,fr,2018,3.7
SH_DYN_IMRT,fr,2018,3.4
SH_DYN_IMRT,dj,2018,45.1
SH_DYN_IMRT,dj,2018,54.0
SH_DYN_IMRT,dj,2018,49.8
SH_DYN_IMRT,ga,2018,32.7
SH_DYN_IMRT,ga,2018,36.4
SH_DYN_IMRT,ga,2018,28.8
SH_DYN_IMRT,ge,2018,9.7
SH_DYN_IMRT,ge,2018,8.7
SH_DYN_IMRT,ge,2018,7.7
